,CUI1,CUI2
9727,Anterior branch of inferior suprarenal artery,Structure of inferior suprarenal artery
9728,Anterior branch of lateral cutaneous branch of left first posterior intercostal artery,Lateral cutaneous branch of left first posterior intercostal artery
9729,Right cochlear artery proper,Right common cochlear artery
9730,Posterior branch of lateral cutaneous branch of right third posterior intercostal artery,Lateral cutaneous branch of right third posterior intercostal artery
9731,Anterior radicular branch of right fifth posterior intercostal artery,Spinal branch of dorsal branch of right fifth posterior intercostal artery
9732,Descending branch of meningeal branch of fourth thoracic nerve,Meningeal branch of fourth thoracic nerve
9733,Muscular branch of lateral branch of dorsal branch of eleventh posterior intercostal artery,Lateral branch of dorsal branch of eleventh posterior intercostal artery
9734,Cutaneous branch of lateral branch of dorsal branch of eleventh posterior intercostal artery,Lateral branch of dorsal branch of eleventh posterior intercostal artery
9735,T1 branch to right longissimus capitis,Lateral branch of posterior ramus of right first thoracic nerve
9736,Articular branch of posterior ramus of left fourth thoracic nerve,Posterior ramus of left fourth thoracic nerve
9737,Muscular branch of lateral branch of dorsal branch of fourth posterior intercostal artery,Lateral branch of dorsal branch of fourth posterior intercostal artery
9738,Nerve to left ciliary ganglion,Inferior branch of left oculomotor nerve
9739,First dorsal digital branch of right radial nerve,Superficial branch of right radial nerve
9740,Anterior branch of lateral cutaneous branch of fourth posterior intercostal artery,Lateral cutaneous branch of fourth posterior intercostal artery
9741,Medial branch of supra-orbital nerve,Structure of supraorbital nerve
9742,Medullary branch of ninth posterior intercostal artery,Anterior radicular branch of ninth posterior intercostal artery
9743,Structure of posterior ethmoidal nerve,Structure of nasociliary nerve
9744,Prelaminar branch of fourth posterior intercostal artery,Spinal branch of dorsal branch of fourth posterior intercostal artery
9745,Postcentral branch of third posterior intercostal artery,Spinal branch of dorsal branch of third posterior intercostal artery
9746,Medial branch of dorsal branch of ninth posterior intercostal artery,Dorsal branch of ninth posterior intercostal artery
9747,Collateral branch of seventh posterior intercostal artery,Seventh posterior intercostal artery
9748,Cutaneous branch of lateral branch of posterior ramus of thoracic nerve,Lateral branch of posterior ramus of thoracic nerve
9749,Ascending branch of medial circumflex femoral artery,Structure of medial circumflex femoral artery
9750,Structure of dorsal metatarsal artery,Structure of anterior tibial artery
9751,Nerve to left third innermost intercostal muscle,Left third intercostal nerve
9752,Palmar carpal branch of left radial artery,Structure of left radial artery
9753,Long head of triceps muscle branch of posterior circumflex humeral artery,Structure of posterior circumflex humeral artery
9754,Pectoral branch of right thoraco-acromial artery,Right thoraco-acromial artery
9755,Descending branch of meningeal branch of fourth sacral nerve,Meningeal branch of fourth sacral nerve
9756,Transverse branch of meningeal branch of right fourth lumbar nerve,Meningeal branch of right fourth lumbar nerve
9757,Descending branch of meningeal branch of right second lumbar nerve,Meningeal branch of right second lumbar nerve
9758,Adductor magnus branch of left tibial nerve,Left tibial nerve
9759,Biceps femoris branch of left tibial nerve,Left tibial nerve
9760,Medial proper plantar digital nerve of left second toe,Left tibial nerve
9761,Esophageal branch of right recurrent laryngeal nerve,Right recurrent laryngeal nerve
9762,Left thymic artery,Left internal thoracic artery
