,CUI1,CUI2
0,Accessory atrioventricular bundle (body structure),Ventricular part of atrioventricular bundle
1,Structure of brachiocephalic artery,Aortic arch structure
2,Superior mesenteric artery structure,Abdominal aorta structure
3,Structure of inferior mesenteric artery,Abdominal aorta structure
4,Structure of inferior alveolar nerve,Structure of lingual nerve
5,Structure of superior laryngeal nerve,Vagus nerve structure
6,Structure of ansa subclavia,Structure of middle cervical ganglion
7,Structure of ansa subclavia,Structure of vertebral ganglion
8,Structure of ansa subclavia,Structure of stellate ganglion
9,Structure of anterior ascending branch of right pulmonary artery,Interlobar portion of right pulmonary artery
10,Structure of anterior cecal artery,Inferior branch of ileocolic artery
11,Structure of anterior cerebral artery,Internal carotid artery structure
12,Structure of anterior choroidal artery,Internal carotid artery structure
13,Structure of anterior choroidal artery,Cerebral portion of internal carotid artery
14,Structure of anterior communicating artery,Structure of anterior cerebral artery
15,Structure of anterior communicating artery,Structure of left anterior cerebral artery
16,Structure of anterior communicating artery,Structure of right anterior cerebral artery
17,Structure of anterior descending branch of left pulmonary artery,Interlobar portion of left pulmonary artery
18,Structure of anterior ethmoidal artery,Structure of ophthalmic artery
19,Structure of anterior ethmoidal nerve,Structure of nasociliary nerve
20,Structure of intercostal branch of internal thoracic artery,Structure of internal thoracic artery
21,Structure of anterior parietal artery,Structure of middle cerebral artery
22,Structure of anterior parietal artery,Insular part of middle cerebral artery
23,Structure of anterior spinal artery,Structure of vertebral artery
24,Structure of anterior temporal artery,Structure of middle cerebral artery
25,Structure of anterior temporal artery,Sphenoid part of middle cerebral artery
26,Anterior vagal trunk,Vagus nerve structure
27,Structure of ascending cervical artery,Structure of inferior thyroid artery
28,Bundle of His,Structure of atrioventricular node
29,Structure of atrioventricular node branch of right coronary artery,First septal branch of right posterior interventricular artery
30,Structure of auriculotemporal nerve,Structure of mandibular nerve
31,Structure of axillary nerve,Posterior fasciculus of brachial plexus
32,Structure of bronchial branch of brachiocephalic artery,Structure of brachiocephalic artery
33,Structure of buccal nerve,Structure of mandibular nerve
34,Structure of calcarine artery,Medial occipital artery
35,Structure of caroticotympanic artery,Internal carotid artery structure
36,Structure of caroticotympanic artery,Structure of petrous portion of internal carotid artery
37,Carotid sinus nerve,Glossopharyngeal nerve structure
38,Celiac Artery,Abdominal aorta structure
39,Structure of central retinal artery,Structure of ophthalmic artery
40,Structure of chorda tympani,Facial nerve structure
41,Structure of chorda tympani,Structure of lingual nerve
42,Cochlear Nerve,Acoustic Nerve
43,Structure of common hepatic artery,Celiac Artery
44,Structure of common hepatic artery,Celiac Artery
45,Common iliac artery structure,Abdominal aorta structure
46,Structure of costocervical trunk,Structure of subclavian artery
47,Structure of cystic artery,Structure of right branch of hepatic artery
48,Cystic duct structure,Common bile duct structure
49,Structure of deep artery of clitoris,Structure of internal pudendal artery
50,Structure of deep artery of penis,Structure of internal pudendal artery
51,Structure of deep temporal nerve,Structure of mandibular nerve
52,Structure of dorsal artery of clitoris,Structure of internal pudendal artery
53,Structure of dorsal artery of penis,Structure of internal pudendal artery
54,Structure of dorsal nasal artery,Structure of ophthalmic artery
55,Structure of episcleral artery,Structure of muscular branch of ophthalmic artery
56,Structure of esophageal artery,Thoracic aorta
57,Structure of external iliac artery,Common iliac artery structure
58,Structure of femoral nerve,Lumbar plexus structure
59,Structure of frontal nerve,Structure of ophthalmic nerve
60,Structure of gastroduodenal artery,Structure of common hepatic artery
61,Structure of genitofemoral nerve,Lumbar plexus structure
62,Structure of hepatic artery proper,Structure of common hepatic artery
63,Structure of ileocolic artery,Superior mesenteric artery structure
64,Structure of iliohypogastric nerve,Lumbar plexus structure
65,Structure of ilioinguinal nerve,Lumbar plexus structure
66,Structure of iliolumbar artery,Trunk of posterior division of internal iliac artery
67,Structure of inferior cardiac nerve,Structure of stellate ganglion
68,Structure of inferior epigastric artery,Structure of external iliac artery
69,Structure of inferior laryngeal artery,Structure of inferior thyroid artery
70,Structure of inferior lingular bronchus,Lingular branch of left superior lobar bronchus
71,Structure of inferior macular artery,Structure of central retinal artery
72,Structure of inferior nasal retinal artery,Inferior central retinal artery
73,Structure of inferior palpebral arch,Structure of medial palpebral artery
74,Structure of inferior pancreaticoduodenal artery,Superior mesenteric artery structure
75,Structure of inferior rectal artery,Structure of internal pudendal artery
76,Structure of inferior root of ansa cervicalis,Cervical plexus structure
77,Structure of inferior thyroid artery,Structure of thyrocervical trunk
78,Structure of infratrochlear nerve,Structure of nasociliary nerve
79,Structure of internal carotid nerve,Structure of superior cervical ganglion
80,Structure of internal iliac artery,Common iliac artery structure
81,Structure of internal thoracic artery,Structure of subclavian artery
82,Structure of jugular nerve,Structure of superior cervical ganglion
83,Structure of lacrimal artery,Structure of ophthalmic artery
84,Structure of lacrimal nerve,Structure of ophthalmic nerve
85,Structure of lateral circumflex femoral artery,Structure of profunda femoris artery
86,Structure of lateral femoral cutaneous nerve,Lumbar plexus structure
87,Structure of lateral pectoral nerve,Structure of lateral fasciculus of brachial plexus
88,Structure of lateral sacral artery,Trunk of posterior division of internal iliac artery
89,Structure of lateral thoracic artery,Structure of axillary artery
90,Structure of lateral thoracic artery,Third part of axillary artery
91,Structure of left anterior cerebral artery,Structure of left internal carotid artery
92,Left bundle branch structure,Ventricular part of atrioventricular bundle
93,Structure of left colic artery,Structure of inferior mesenteric artery
94,Left common carotid artery structure,Aortic arch structure
95,Structure of left common iliac artery,Abdominal aorta structure
96,Left coronary artery structure,Ascending aorta structure
97,Structure of left external carotid artery,Left common carotid artery structure
98,Structure of left external iliac artery,Structure of left common iliac artery
99,Structure of left gastric artery,Celiac Artery
100,Structure of left gastric artery,Celiac Artery
101,Structure of left hepatic duct,Common Hepatic Duct
102,Structure of left internal carotid artery,Left common carotid artery structure
103,Structure of left internal iliac artery,Structure of left common iliac artery
104,Left main bronchus structure,Trachea
105,Structure of left middle cerebral artery,Structure of left internal carotid artery
106,Structure of left posterior cerebral artery,Structure of basilar artery
107,Left pulmonary arterial tree,Pulmonary artery structure
108,Structure of left renal artery,Abdominal aorta structure
109,Structure of left subclavian artery,Aortic arch structure
110,Structure of left vertebral artery,Structure of left subclavian artery
111,Structure of left vertebral artery,First part of left subclavian artery proper
112,Structure of smaller occipital nerve,Anterior ramus of second cervical nerve
113,Structure of smaller occipital nerve,Cervical plexus structure
114,Structure of lingual nerve,Structure of mandibular nerve
115,Lobar bronchus structure,Main Bronchus
116,Long ciliary nerves,Structure of nasociliary nerve
117,Structure of lumbar artery,Abdominal aorta structure
118,Structure of lumbar splanchnic nerve,Lumbar sympathetic trunk
119,Structure of mandibular nerve,Trigeminal nerve structure
120,Structure of masseteric nerve,Structure of mandibular nerve
121,Structure of maxillary nerve,Trigeminal nerve structure
122,Structure of medial circumflex femoral artery,Structure of profunda femoris artery
123,Structure of medial pectoral nerve,Structure of medial fasciculus of brachial plexus
124,Structure of mediastinal branch of descending thoracic aorta,Thoracic aorta
125,Structure of mental nerve,Structure of inferior alveolar nerve
126,Structure of middle cerebral artery,Internal carotid artery structure
127,Structure of middle colic artery,Superior mesenteric artery structure
128,Meningeal branch of maxillary nerve,Structure of maxillary nerve
129,Structure of musculocutaneous nerve,Structure of lateral fasciculus of brachial plexus
130,Structure of musculophrenic artery,Structure of internal thoracic artery
131,Structure of nasociliary nerve,Structure of frontal nerve
132,Structure of obturator nerve,Lumbar plexus structure
133,Structure of ophthalmic artery,Internal carotid artery structure
134,Structure of ophthalmic artery,Cerebral portion of internal carotid artery
135,Structure of ophthalmic nerve,Trigeminal nerve structure
136,Structure of ovarian artery,Abdominal aorta structure
137,Structure of perineal artery,Structure of internal pudendal artery
138,Structure of posterior auricular nerve,Facial nerve structure
139,Structure of posterior cecal artery,Inferior branch of ileocolic artery
140,Structure of posterior choroidal artery,Structure of posterior cerebral artery
141,Structure of posterior communicating artery,Internal carotid artery structure
142,Structure of posterior communicating artery,Cerebral portion of internal carotid artery
143,Structure of posterior ethmoidal artery,Structure of ophthalmic artery
144,Structure of posterior ethmoidal nerve,Structure of nasociliary nerve
145,Structure of posterior femoral cutaneous nerve,Sacral plexus structure
146,Structure of posterior gastric artery,Structure of splenic artery
147,Structure of posterior inferior cerebellar artery,Structure of vertebral artery
148,Structure of posterior intercostal artery,Thoracic aorta
149,Structure of posterior parietal artery,Structure of middle cerebral artery
150,Structure of posterior parietal artery,Insular part of middle cerebral artery
151,Structure of posterior spinal artery,Structure of vertebral artery
152,Structure of posterior temporal artery,Structure of middle cerebral artery
153,Structure of posterior vagal trunk,Vagus nerve structure
154,Structure of proximal portion of circumflex branch of left coronary artery,Left coronary artery main stem
155,Structure of radial artery,Structure of brachial artery
156,Structure of radial nerve,Posterior fasciculus of brachial plexus
157,Recurrent Laryngeal Nerve,Vagus nerve structure
158,Structure of recurrent meningeal branch of lacrimal artery,Structure of lacrimal artery
159,Structure of renal artery,Abdominal aorta structure
160,Structure of respiratory bronchiole,Structure of terminal bronchiole
161,Structure of right anterior cerebral artery,Structure of right internal carotid artery
162,Structure of right apical segmental bronchus,Right superior lobar bronchus
163,Structure of right branch of atrioventricular bundle,Ventricular part of atrioventricular bundle
164,Structure of right colic artery,Superior mesenteric artery structure
165,Right common carotid artery structure,Structure of brachiocephalic artery
166,Structure of right common iliac artery,Abdominal aorta structure
167,Right coronary artery structure,Ascending aorta structure
168,Structure of right external carotid artery,Right common carotid artery structure
169,Structure of right external iliac artery,Structure of right common iliac artery
170,Structure of right gastric artery,Structure of common hepatic artery
171,Structure of right hepatic duct,Common Hepatic Duct
172,Structure of right internal carotid artery,Right common carotid artery structure
173,Structure of right internal iliac artery,Structure of right common iliac artery
174,Right main bronchus structure,Trachea
175,Structure of right middle cerebral artery,Structure of right internal carotid artery
176,Structure of right posterior cerebral artery,Structure of basilar artery
177,Right pulmonary arterial tree,Pulmonary artery structure
178,Structure of right renal artery,Abdominal aorta structure
179,Structure of right subclavian artery,Structure of brachiocephalic artery
180,Structure of right vertebral artery,Structure of right subclavian artery
181,Structure of right vertebral artery,First part of right subclavian artery proper
182,Structure of sigmoid artery,Structure of inferior mesenteric artery
183,Structure of splenic artery,Celiac Artery
184,Structure of splenic artery,Celiac Artery
185,Structure of subcostal artery,Thoracic aorta
186,Structure of superficial cervical artery,Structure of thyrocervical trunk
187,Structure of superficial cervical artery,Structure of transverse cervical artery
188,Structure of superior cardiac nerve,Structure of superior cervical ganglion
189,Structure of superior epigastric artery,Structure of internal thoracic artery
190,Structure of superior gluteal artery,Trunk of posterior division of internal iliac artery
191,Structure of superior intercostal artery,Structure of costocervical trunk
192,Structure of superior lingular bronchus,Lingular branch of left superior lobar bronchus
193,Structure of superior macular artery,Structure of central retinal artery
194,Structure of superior nasal retinal artery,Superior central retinal artery
195,Structure of superior palpebral arch,Structure of medial palpebral artery
196,Structure of superior rectal artery,Structure of inferior mesenteric artery
197,Structure of superior thoracic artery,Structure of axillary artery
198,Structure of superior thoracic artery,First part of axillary artery
199,Structure of transverse scapular artery,Structure of thyrocervical trunk
200,Structure of supratrochlear artery,Structure of ophthalmic artery
201,Structure of supratrochlear nerve,Structure of frontal nerve
202,Structure of terminal bronchiole,Intermediate bronchiole
203,Structure of testicular artery,Abdominal aorta structure
204,Structure of thoracodorsal nerve,Posterior fasciculus of brachial plexus
205,Structure of thymic branch of internal thoracic artery,Structure of internal thoracic artery
206,Structure of thymic branch of brachiocephalic artery,Structure of brachiocephalic artery
207,Structure of thyrocervical trunk,Structure of subclavian artery
208,Structure of tympanic nerve,Glossopharyngeal nerve structure
209,Structure of ulnar artery,Structure of brachial artery
210,Structure of ulnar nerve,Structure of medial fasciculus of brachial plexus
211,Structure of urethral artery,Structure of internal pudendal artery
212,Structure of vertebral artery,Structure of subclavian artery
213,Structure of vertebral nerve,Structure of stellate ganglion
214,Vestibular Nerve,Acoustic Nerve
215,Structure of zygomatic branch of lacrimal artery,Structure of lacrimal artery
216,Structure of zygomatic nerve,Structure of maxillary nerve
217,Common Hepatic Duct,Common bile duct structure
218,"Alveolar Nerve, Superior",Structure of maxillary nerve
219,Absent left common carotid artery,Aortic arch structure
220,Accessory obturator nerve,Lumbar plexus structure
221,Structure of atrium of alveolus,Alveolar duct
222,Alveolar duct,Structure of respiratory bronchiole
223,Alveolar sac,Structure of atrium of alveolus
224,Anterior atrial branch of right coronary artery,Structure of proximal portion of right coronary artery
225,Anterior atrial branch of right coronary artery,Right coronary artery structure
226,Anterior auricular nerve,Structure of auriculotemporal nerve
227,Structure of greater auricular nerve anterior branch,Structure of great auricular nerve
228,Anterior branch of lateral cutaneous branch of eighth intercostal nerve,Lateral cutaneous branch of eighth intercostal nerve
229,Anterior branch of lateral cutaneous branch of eleventh intercostal nerve,Lateral cutaneous branch of eleventh intercostal nerve
230,Anterior branch of lateral cutaneous branch of fifth intercostal nerve,Lateral cutaneous branch of fifth intercostal nerve
231,Anterior branch of lateral cutaneous branch of fourth intercostal nerve,Lateral cutaneous branch of fourth intercostal nerve
232,Anterior branch of lateral cutaneous branch of intercostal nerve,Lateral cutaneous branch of intercostal nerve
233,Anterior branch of lateral cutaneous branch of left eighth intercostal nerve,Lateral cutaneous branch of left eighth intercostal nerve
234,Anterior branch of lateral cutaneous branch of left eighth posterior intercostal artery,Lateral cutaneous branch of left eighth posterior intercostal artery
235,Anterior branch of lateral cutaneous branch of left eleventh intercostal nerve,Lateral cutaneous branch of left eleventh intercostal nerve
236,Anterior branch of lateral cutaneous branch of left eleventh posterior intercostal artery,Lateral cutaneous branch of left eleventh posterior intercostal artery
237,Anterior branch of lateral cutaneous branch of left fifth intercostal nerve,Lateral cutaneous branch of left fifth intercostal nerve
238,Anterior branch of lateral cutaneous branch of left fifth posterior intercostal artery,Lateral cutaneous branch of left fifth posterior intercostal artery
239,Anterior branch of lateral cutaneous branch of left first posterior intercostal artery,Lateral cutaneous branch of left first posterior intercostal artery
240,Anterior branch of lateral cutaneous branch of left fourth intercostal nerve,Lateral cutaneous branch of left fourth intercostal nerve
241,Anterior branch of lateral cutaneous branch of left fourth posterior intercostal artery,Lateral cutaneous branch of left fourth posterior intercostal artery
242,Anterior branch of lateral cutaneous branch of left ninth intercostal nerve,Lateral cutaneous branch of left ninth intercostal nerve
243,Anterior branch of lateral cutaneous branch of left ninth posterior intercostal artery,Lateral cutaneous branch of left ninth posterior intercostal artery
244,Anterior branch of lateral cutaneous branch of left second posterior intercostal artery,Lateral cutaneous branch of left second posterior intercostal artery
245,Anterior branch of lateral cutaneous branch of left seventh intercostal nerve,Lateral cutaneous branch of left seventh intercostal nerve
246,Anterior branch of lateral cutaneous branch of left seventh posterior intercostal artery,Lateral cutaneous branch of left seventh posterior intercostal artery
247,Anterior branch of lateral cutaneous branch of left sixth intercostal nerve,Lateral cutaneous branch of left sixth intercostal nerve
248,Anterior branch of lateral cutaneous branch of left sixth posterior intercostal artery,Lateral cutaneous branch of left sixth posterior intercostal artery
249,Anterior branch of lateral cutaneous branch of left subcostal artery,Lateral cutaneous branch of left subcostal artery
250,Anterior branch of lateral cutaneous branch of left subcostal nerve,Lateral cutaneous branch of left subcostal nerve
251,Anterior branch of lateral cutaneous branch of left tenth intercostal nerve,Lateral cutaneous branch of left tenth intercostal nerve
252,Anterior branch of lateral cutaneous branch of left tenth posterior intercostal artery,Lateral cutaneous branch of left tenth posterior intercostal artery
253,Anterior branch of lateral cutaneous branch of left third intercostal nerve,Lateral cutaneous branch of left third intercostal nerve
254,Anterior branch of lateral cutaneous branch of left third posterior intercostal artery,Lateral cutaneous branch of left third posterior intercostal artery
255,Anterior branch of lateral cutaneous branch of ninth intercostal nerve,Lateral cutaneous branch of ninth intercostal nerve
256,Anterior branch of lateral cutaneous branch of posterior intercostal artery,Lateral cutaneous branch of posterior intercostal artery
257,Anterior branch of lateral cutaneous branch of right eighth intercostal nerve,Lateral cutaneous branch of right eighth intercostal nerve
258,Anterior branch of lateral cutaneous branch of right eighth posterior intercostal artery,Lateral cutaneous branch of right eighth posterior intercostal artery
259,Anterior branch of lateral cutaneous branch of right eleventh intercostal nerve,Lateral cutaneous branch of right eleventh intercostal nerve
260,Anterior branch of lateral cutaneous branch of right eleventh posterior intercostal artery,Lateral cutaneous branch of right eleventh posterior intercostal artery
261,Anterior branch of lateral cutaneous branch of right fifth intercostal nerve,Lateral cutaneous branch of right fifth intercostal nerve
262,Anterior branch of lateral cutaneous branch of right fifth posterior intercostal artery,Lateral cutaneous branch of right fifth posterior intercostal artery
263,Anterior branch of lateral cutaneous branch of right first posterior intercostal artery,Lateral cutaneous branch of right first posterior intercostal artery
264,Anterior branch of lateral cutaneous branch of right fourth intercostal nerve,Lateral cutaneous branch of right fourth intercostal nerve
265,Anterior branch of lateral cutaneous branch of right fourth posterior intercostal artery,Lateral cutaneous branch of right fourth posterior intercostal artery
266,Anterior branch of lateral cutaneous branch of right ninth intercostal nerve,Lateral cutaneous branch of right ninth intercostal nerve
267,Anterior branch of lateral cutaneous branch of right ninth posterior intercostal artery,Lateral cutaneous branch of right ninth posterior intercostal artery
268,Anterior branch of lateral cutaneous branch of right second posterior intercostal artery,Lateral cutaneous branch of right second posterior intercostal artery
269,Anterior branch of lateral cutaneous branch of right seventh intercostal nerve,Lateral cutaneous branch of right seventh intercostal nerve
270,Anterior branch of lateral cutaneous branch of right seventh posterior intercostal artery,Lateral cutaneous branch of right seventh posterior intercostal artery
271,Anterior branch of lateral cutaneous branch of right sixth intercostal nerve,Lateral cutaneous branch of right sixth intercostal nerve
272,Anterior branch of lateral cutaneous branch of right sixth posterior intercostal artery,Lateral cutaneous branch of right sixth posterior intercostal artery
273,Anterior branch of lateral cutaneous branch of right subcostal artery,Lateral cutaneous branch of right subcostal artery
274,Anterior branch of lateral cutaneous branch of right subcostal nerve,Lateral cutaneous branch of right subcostal nerve
275,Anterior branch of lateral cutaneous branch of right tenth intercostal nerve,Lateral cutaneous branch of right tenth intercostal nerve
276,Anterior branch of lateral cutaneous branch of right tenth posterior intercostal artery,Lateral cutaneous branch of right tenth posterior intercostal artery
277,Anterior branch of lateral cutaneous branch of right third intercostal nerve,Lateral cutaneous branch of right third intercostal nerve
278,Anterior branch of lateral cutaneous branch of right third posterior intercostal artery,Lateral cutaneous branch of right third posterior intercostal artery
279,Anterior branch of lateral cutaneous branch of seventh intercostal nerve,Lateral cutaneous branch of seventh intercostal nerve
280,Anterior branch of lateral cutaneous branch of sixth intercostal nerve,Lateral cutaneous branch of sixth intercostal nerve
281,Anterior branch of lateral cutaneous branch of subcostal artery,Lateral cutaneous branch of subcostal artery
282,Anterior branch of lateral cutaneous branch of subcostal nerve,Lateral cutaneous branch of subcostal nerve
283,Anterior branch of lateral cutaneous branch of tenth intercostal nerve,Lateral cutaneous branch of tenth intercostal nerve
284,Anterior branch of lateral cutaneous branch of third intercostal nerve,Lateral cutaneous branch of third intercostal nerve
285,Anterior cutaneous branch of eighth intercostal nerve,Eighth intercostal nerve
286,Anterior cutaneous branch of eleventh intercostal nerve,Eleventh intercostal nerve
287,Anterior cutaneous branch of fifth intercostal nerve,Fifth intercostal nerve
288,Anterior cutaneous branch of first intercostal nerve,First intercostal nerve
289,Anterior cutaneous branch of fourth intercostal nerve,Fourth intercostal nerve
290,Anterior cutaneous branch of intercostal nerve,Anterior ramus of thoracic nerve
291,Anterior cutaneous branch of left eighth intercostal nerve,Left eighth intercostal nerve
292,Anterior cutaneous branch of left eleventh intercostal nerve,Left eleventh intercostal nerve
293,Anterior cutaneous branch of left fifth intercostal nerve,Left fifth intercostal nerve
294,Anterior cutaneous branch of left first intercostal nerve,Left first intercostal nerve
295,Anterior cutaneous branch of left fourth intercostal nerve,Left fourth intercostal nerve
296,Anterior cutaneous branch of left ninth intercostal nerve,Left ninth intercostal nerve
297,Anterior cutaneous branch of left second intercostal nerve,Left second intercostal nerve
298,Anterior cutaneous branch of left seventh intercostal nerve,Left seventh intercostal nerve
299,Anterior cutaneous branch of left sixth intercostal nerve,Left sixth intercostal nerve
300,Anterior cutaneous branch of left tenth intercostal nerve,Left tenth intercostal nerve
301,Anterior cutaneous branch of left third intercostal nerve,Left third intercostal nerve
302,Anterior cutaneous branch of ninth intercostal nerve,Ninth intercostal nerve
303,Anterior cutaneous branch of right eighth intercostal nerve,Right eighth intercostal nerve
304,Anterior cutaneous branch of right eleventh intercostal nerve,Right eleventh intercostal nerve
305,Anterior cutaneous branch of right fifth intercostal nerve,Right fifth intercostal nerve
306,Anterior cutaneous branch of right first intercostal nerve,Right first intercostal nerve
307,Anterior cutaneous branch of right fourth intercostal nerve,Right fourth intercostal nerve
308,Anterior cutaneous branch of right ninth intercostal nerve,Right ninth intercostal nerve
309,Anterior cutaneous branch of right second intercostal nerve,Right second intercostal nerve
310,Anterior cutaneous branch of right seventh intercostal nerve,Right seventh intercostal nerve
311,Anterior cutaneous branch of right sixth intercostal nerve,Right sixth intercostal nerve
312,Anterior cutaneous branch of right tenth intercostal nerve,Right tenth intercostal nerve
313,Anterior cutaneous branch of right third intercostal nerve,Right third intercostal nerve
314,Anterior cutaneous branch of second intercostal nerve,Second intercostal nerve
315,Anterior cutaneous branch of seventh intercostal nerve,Seventh intercostal nerve
316,Anterior cutaneous branch of sixth intercostal nerve,Sixth intercostal nerve
317,Anterior cutaneous branch of tenth intercostal nerve,Tenth intercostal nerve
318,Anterior cutaneous branch of third intercostal nerve,Third intercostal nerve
319,Anterior diaphragmatic branch of phrenic nerve,Structure of phrenic nerve
320,Structure of left anterior division of left branch of atrioventricular bundle,Left bundle branch structure
321,Anterior intercostal branch of left musculophrenic artery,Left musculophrenic artery
322,Anterior intercostal branch of right musculophrenic artery,Structure of musculophrenic artery
323,Anterior intercostal branch of right musculophrenic artery,Right musculophrenic artery
324,Anterior interatrial preferential pathway,Structure of atrioventricular node
325,Anterior interatrial preferential pathway,Sinoatrial Node
326,Anterior descending branch of left coronary artery,Left coronary artery structure
327,Anterior radicular branch of left eighth posterior intercostal artery,Spinal branch of dorsal branch of left eighth posterior intercostal artery
328,Anterior radicular branch of left eleventh posterior intercostal artery,Spinal branch of dorsal branch of left eleventh posterior intercostal artery
329,Anterior radicular branch of left fifth posterior intercostal artery,Spinal branch of dorsal branch of left fifth posterior intercostal artery
330,Anterior radicular branch of left first posterior intercostal artery,Spinal branch of dorsal branch of left first posterior intercostal artery
331,Anterior radicular branch of left fourth posterior intercostal artery,Spinal branch of dorsal branch of left fourth posterior intercostal artery
332,Anterior radicular branch of left ninth posterior intercostal artery,Spinal branch of dorsal branch of left ninth posterior intercostal artery
333,Anterior radicular branch of left second posterior intercostal artery,Spinal branch of dorsal branch of left second posterior intercostal artery
334,Anterior radicular branch of left seventh posterior intercostal artery,Spinal branch of dorsal branch of left seventh posterior intercostal artery
335,Anterior radicular branch of left sixth posterior intercostal artery,Spinal branch of dorsal branch of left sixth posterior intercostal artery
336,Anterior radicular branch of left subcostal artery,Spinal branch of dorsal branch of left subcostal artery
337,Anterior radicular branch of left tenth posterior intercostal artery,Spinal branch of dorsal branch of left tenth posterior intercostal artery
338,Anterior radicular branch of left third posterior intercostal artery,Spinal branch of dorsal branch of left third posterior intercostal artery
339,Structure of great anterior radicular artery of Adamkiewicz,Spinal branch of dorsal branch of posterior intercostal artery
340,Anterior radicular branch of right eighth posterior intercostal artery,Spinal branch of dorsal branch of right eighth posterior intercostal artery
341,Anterior radicular branch of right eleventh posterior intercostal artery,Spinal branch of dorsal branch of right eleventh posterior intercostal artery
342,Anterior radicular branch of right fifth posterior intercostal artery,Spinal branch of dorsal branch of right fifth posterior intercostal artery
343,Anterior radicular branch of right first posterior intercostal artery,Spinal branch of dorsal branch of right first posterior intercostal artery
344,Anterior radicular branch of right fourth posterior intercostal artery,Spinal branch of dorsal branch of right fourth posterior intercostal artery
345,Anterior radicular branch of right ninth posterior intercostal artery,Spinal branch of dorsal branch of right ninth posterior intercostal artery
346,Anterior radicular branch of right second posterior intercostal artery,Spinal branch of dorsal branch of right second posterior intercostal artery
347,Anterior radicular branch of right seventh posterior intercostal artery,Spinal branch of dorsal branch of right seventh posterior intercostal artery
348,Anterior radicular branch of right sixth posterior intercostal artery,Spinal branch of dorsal branch of right sixth posterior intercostal artery
349,Anterior radicular branch of right subcostal artery,Spinal branch of dorsal branch of right subcostal artery
350,Anterior radicular branch of right tenth posterior intercostal artery,Spinal branch of dorsal branch of right tenth posterior intercostal artery
351,Anterior radicular branch of right third posterior intercostal artery,Spinal branch of dorsal branch of right third posterior intercostal artery
352,Anterior radicular branch of subcostal artery,Spinal branch of dorsal branch of subcostal artery
353,Anterior ramus of coccygeal nerve,Structure of coccygeal nerve
354,Anterior ramus of fifth lumbar nerve,Fifth lumbar nerve
355,Anterior ramus of fifth sacral nerve,Fifth sacral nerve
356,Anterior ramus of first lumbar nerve,First lumbar nerve
357,Anterior ramus of first sacral nerve,First sacral nerve
358,First intercostal nerve,First thoracic nerve
359,Anterior ramus of fourth lumbar nerve,Fourth lumbar nerve
360,Anterior ramus of fourth sacral nerve,Fourth sacral nerve
361,Anterior ramus of left coccygeal nerve,Left coccygeal nerve
362,Anterior ramus of left fifth lumbar nerve,Left fifth lumbar nerve
363,Anterior ramus of left fifth sacral nerve,Left fifth sacral nerve
364,Anterior ramus of left first cervical nerve,Left first cervical nerve
365,Anterior ramus of left first lumbar nerve,Left first lumbar nerve
366,Anterior ramus of left first sacral nerve,Left first sacral nerve
367,Left first intercostal nerve,Left first thoracic spinal nerve
368,Anterior ramus of left fourth lumbar nerve,Left fourth lumbar nerve
369,Anterior ramus of left fourth sacral nerve,Left fourth sacral nerve
370,Anterior ramus of left second cervical nerve,Left second cervical nerve
371,Anterior ramus of left second lumbar nerve,Left second lumbar nerve
372,Anterior ramus of left second sacral nerve,Left second sacral nerve
373,Anterior ramus of left third cervical nerve,Left third cervical nerve
374,Anterior ramus of left third lumbar nerve,Left third lumbar nerve
375,Anterior ramus of left third sacral nerve,Left third sacral nerve
376,Anterior ramus of lumbar nerve,Lumbar nerve
377,Anterior ramus of right coccygeal nerve,Right coccygeal nerve
378,Anterior ramus of right fifth lumbar nerve,Right fifth lumbar nerve
379,Anterior ramus of right fifth sacral nerve,Right fifth sacral nerve
380,Anterior ramus of right first cervical nerve,Right first cervical nerve
381,Anterior ramus of right first lumbar nerve,Right first lumbar nerve
382,Anterior ramus of right first sacral nerve,Right first sacral nerve
383,Right first intercostal nerve,Right first thoracic nerve
384,Anterior ramus of right fourth lumbar nerve,Right fourth lumbar nerve
385,Anterior ramus of right fourth sacral nerve,Right fourth sacral nerve
386,Anterior ramus of right second cervical nerve,Right second cervical nerve
387,Anterior ramus of right second lumbar nerve,Right second lumbar nerve
388,Anterior ramus of right second sacral nerve,Right second sacral nerve
389,Anterior ramus of right third cervical nerve,Right third cervical nerve
390,Anterior ramus of right third lumbar nerve,Right third lumbar nerve
391,Anterior ramus of right third sacral nerve,Right third sacral nerve
392,Anterior ramus of sacral nerve,Sacral nerve
393,Anterior ramus of second lumbar nerve,Second lumbar nerve
394,Anterior ramus of second sacral nerve,Second sacral nerve
395,Structure of spinal nerve ventral branch,Trunk of spinal nerve
396,Anterior ramus of third lumbar nerve,Third lumbar nerve
397,Anterior ramus of third sacral nerve,Third sacral nerve
398,Anterior ramus of thoracic nerve,Structure of thoracic nerve
399,Anterior septal branch of anterior interventricular artery,Anterior descending branch of left coronary artery
400,Anterior septal branch of anterior interventricular artery,Structure of distal portion of anterior descending branch of left coronary artery
401,Anterior branch of anterior interventricular branch of left coronary artery,Anterior descending branch of left coronary artery
402,Anterior ventricular branch of circumflex coronary artery,Structure of distal portion of circumflex branch of left coronary artery
403,Anterior ventricular branch of circumflex coronary artery,Structure of circumflex branch of left coronary artery
404,Anterior ventricular branch of right coronary artery,Structure of proximal portion of right coronary artery
